Pattern,Aggregation Level,Entity ID,ASIN,CID,Expected Contribution,Participation Score,Rationale
Sourcing-Focused,CID,CID001,B042TUV456,CID001,12541.935483870968,0.7741935483870968,"very high participation likelihood, moderate sales value"
Balanced,CID,CID001,B042TUV456,CID001,12541.935483870968,0.7741935483870968,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID002,B004JKL012,CID002,22000.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID003,B044ZAB012,CID003,20806.451612903224,0.9677419354838709,"very high participation likelihood, moderate sales value"
Balanced,CID,CID003,B044ZAB012,CID003,20806.451612903224,0.9677419354838709,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID004,B008VWX234,CID004,22580.64516129032,0.9032258064516128,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID004,B025UVW345,CID004,17612.903225806447,0.9032258064516128,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID005,B046FGH678,CID005,16980.64516129032,0.9032258064516128,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID006,B037EFG901,CID006,22500.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID007,B014NOP012,CID007,18967.741935483868,0.9032258064516128,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID008,B029GHI567,CID008,19838.709677419352,0.9677419354838709,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID008,B016TUV678,CID008,13548.387096774193,0.7741935483870968,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID009,B050RST890,CID009,20200.0,1.0,"very high participation likelihood, moderate sales value"
Balanced,CID,CID009,B050RST890,CID009,20200.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID010,B020FGH890,CID010,23000.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID010,B031MNO123,CID010,16438.709677419352,0.9032258064516128,"very high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID010,B021IJK123,CID010,9000.0,0.5806451612903226,"high participation likelihood, moderate sales value"
Sourcing-Focused,CID,CID010,B041QRS123,CID010,4451.612903225806,0.3225806451612903,"moderate participation likelihood, moderate sales value"
