Pattern,Aggregation Level,Entity ID,ASIN,CID,Expected Contribution,Participation Score,Rationale
Sourcing-Focused,Team,大阪チーム,B020FGH890,CID010,23000.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,大阪チーム,B037EFG901,CID006,22500.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,大阪チーム,B050RST890,CID009,20200.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,大阪チーム,B029GHI567,CID008,19838.709677419352,0.9677419354838709,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,大阪チーム,B014NOP012,CID007,18967.741935483868,0.9032258064516128,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,大阪チーム,B012HIJ456,CID006,18387.096774193546,0.9677419354838709,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,東京チーム,B008VWX234,CID004,22580.64516129032,0.9032258064516128,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,東京チーム,B004JKL012,CID002,22000.0,1.0,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,東京チーム,B044ZAB012,CID003,20806.451612903224,0.9677419354838709,"very high participation likelihood, moderate sales value"
Sourcing-Focused,Team,東京チーム,B025UVW345,CID004,17612.903225806447,0.9032258064516128,"very high participation likelihood, moderate sales value"
